ID,名称,年代,规格,简介,图片url
792,清嘉庆五彩龙凤纹瓷碗,清嘉庆,高6.2，口径12.8，底径6.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：56105-A-01.jpg
793,清乾隆豆青釉瓷碗,清乾隆,高5.7，口径12，底径4.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：56646-A-01.jpg
794,清乾隆绿地紫龙纹瓷碗,清乾隆,高5.6，口径11.2，底径4.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：57068-A-01.jpg
795,清雍正淡描青花皮球锦纹瓷碗,清雍正,高5.5，口径10.3，底径4.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：57703-A-01.jpg
796,清雍正绿釉暗刻石榴纹瓷盘,清雍正,高4.2，口径20.7，底径13  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：58361-A-01.jpg
797,清乾隆黄釉瓷盘,清乾隆,高4.4，口径20.3，底径12.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：58652-A-01.jpg
798,清雍正黄釉暗刻缠枝花卉纹瓷盘,清雍正,高4.2，口径20.4，底径13  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：61114-A-01.jpg
799,清雍正黄釉暗刻宝相花纹瓷盘,清雍正,高4.2，口径20.8，底径13.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：61121-A-01.jpg
800,清康熙青花云龙纹瓷盘,清康熙,高3.4，口径16.5，底径9.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：61131-A-01.jpg
801,清康熙青花云龙纹瓷盘,清康熙,高4.2，口径18，底径11.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/29\2.0：61148-A-01.jpg
802,清白釉瓷爵杯,清,高 12.6，长口径 18.1，短口径 7.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3029-A-01.jpg
803,清乾隆青釉瓷盘,清乾隆,高 3.3，口径 16.5，底径 11  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3035-A-01.jpg
804,清康熙五彩龙凤纹瓷碗,清康熙,高5，口径11，底径4.3  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3075-A-01.jpg
805,清乾隆矾红福寿纹瓷碗,清乾隆,高 7.5，口径 12.4，底径 5.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3347-A-01.jpg
806,清乾隆黄釉暗龙纹瓷碗,清乾隆,高 5.9，口径 13.3，底径 4.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3432-A-01.jpg
807,清康熙白釉钟式瓷杯,清康熙,高 7.7，口径 8，底径 2.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3442-A-01.jpg
808,清雍正淡描青花如意纹瓷杯,清雍正,高 4.1，口径 7.3，底径 2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3551-A-01.jpg
809,清雍正祭红釉瓷杯,清雍正,高 3.5，口径 5.2，底径 2.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：3762-A-01.jpg
810,清雍正祭红釉瓷杯,清雍正,高 3.8，口径 5.4，底径 2.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4001-A-01.jpg
811,清雍正柠檬黄釉瓷盘,清雍正,高 4.2，口径 21，底径 13.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4258-A-01.jpg
812,清康熙黄釉暗龙纹瓷盘,清康熙,高 4.3，口径 20，底径 12.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4271-A-01.jpg
813,清雍正黄釉暗刻宝相花纹瓷盘,清雍正,高 4，口径 20.5，底径 13  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4293-A-01.jpg
814,清康熙祭蓝釉瓷盘,清康熙,高 3.5，口径 17.5，底径 10.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4298-A-01.jpg
815,清雍正白釉暗刻贯套火焰纹瓷碗,清雍正,高 7.7，口径 13，底径 5.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4358-A-01.jpg
816,清雍正白釉瓷碗,清雍正,高 6.7，口径 13.2，底径 5.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4366-A-01.jpg
817,清雍正祭红釉瓷盘,清雍正,"高4.7,口径20.7,底径13.4  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4548-A-01.jpg
818,清乾隆绿地紫龙纹瓷碗,清乾隆,"高7.2,口径15,底径6.3  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4572-A-01.jpg
819,清雍正米黄釉瓷盘,清雍正,"高3.3,口径15.5,底径9  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4672-A-01.jpg
820,清雍正淡描青花缠枝花卉纹瓷盘,清雍正,"高3.7,口径20.5,底径13  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4712-A-01.jpg
821,清康熙素三彩龙纹瓷碟,清康熙,"高3.5,口径10.5,底径6.8  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4752-A-01.jpg
822,清雍正青花一束莲纹瓷盘,清雍正,"高3.2,口径13.4,底径8.4  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4887-A-01.jpg
823,清雍正青花缠枝花卉纹瓷盘,清雍正,"高3.3,口径13.5,底径8.8  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4921-A-01.jpg
824,清乾隆斗彩贯套寿字纹瓷盘,清乾隆,"高4.8,口径20.8,底径13.5  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：4922-A-01.jpg
825,清乾隆青花云凤纹瓷盘,清乾隆,"高3.5,口径16.4,底径9  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5001-A-01.jpg
826,清康熙黄釉瓷碗,清康熙,"高10.8,口径22.2,底径9  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5049-A-01.jpg
827,清康熙黄地暗龙纹瓷碗,清康熙,"高7,口径15.1,底径6.1  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5225-A-01.jpg
828,清乾隆青花折枝花卉纹六方瓶,清乾隆,高66，口径20.5，底径23.5，腹径36  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5254-A-01.jpg
829,清康熙白釉暗刻缠枝莲纹瓷盘,清康熙,"高9.2,口径47,底径29.5  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5255-A-01.jpg
830,清乾隆青花莲托梵文瓷靶杯,清乾隆,高14，口径14.6，底径7.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5305-A-01.jpg
831,清康熙青花水仙花纹瓷杯,清康熙,高4.8，口径6.5，底2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5315-A-01.jpg
832,清康熙青花玉兰花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5408-A-01.jpg
833,清康熙青花桃花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5482-A-01.jpg
834,清康熙青花牡丹花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5565-A-01.jpg
835,清康熙青花石榴纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5628-A-01.jpg
836,清康熙青花荷花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5696-A-01.jpg
837,清康熙青花兰花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5773-A-01.jpg
838,清康熙青花桂花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5845-A-01.jpg
839,清康熙青花菊花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5935-A-01.jpg
840,清康熙青花芙蓉花纹瓷杯,清康熙,高4.8，口径6.5，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：5993-A-01.jpg
841,清乾隆青花云龙纹瓷盘,清乾隆,高3.3，口径17，底径10.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10136-A-01.jpg
842,清乾隆青花云龙纹瓷盘,清乾隆,高3.3，口径17，底径10.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10165-A-01.jpg
843,清雍正青花莲托梵文瓷杯,清雍正,高4.7，口径6，底径2.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10196-A-01.jpg
844,清乾隆斗彩团花纹平底瓷碗,清乾隆,高4.8，口径20.8，底径13.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10341-A-01.jpg
845,清乾隆青花缠枝莲纹瓷盘,清乾隆,高3.2，口径15，底径9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10400-A-01.jpg
846,清乾隆青花花卉纹铺首尊,清乾隆,高23.5，口径10，底径10  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10535-A-01.jpg
847,清乾隆绿地紫龙纹瓷碗,清乾隆,高6.8，口径15，底径6.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10585-A-01.jpg
848,清乾隆豆青釉高足盘,清乾隆,高8.5，口径17.5，底径8.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10754-A-01.jpg
849,清乾隆斗彩缠枝花卉纹瓷碗,清乾隆,高8.5，口径17.3，底径8.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10764-A-01.jpg
850,清乾隆黄釉暗龙纹瓷碗,清乾隆,高7，口径14，底径7.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10843-A-01.jpg
851,清乾隆斗彩暗八仙纹束胫瓷盘,清乾隆,高5.5，口径19.9，底径10.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10879-A-01.jpg
852,清康熙酱釉瓷碗,清康熙,高6，口径12.5，底径6.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10898-A-01.jpg
853,清嘉庆酱釉瓷碗,清嘉庆,高6.1，口径12.3，底径6.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10917-A-01.jpg
854,清康熙青花云鹤八卦纹瓷碗,清康熙,高6.1，口径12.3，底径6.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10925-A-01.jpg
855,清乾隆仿汝釉瓷瓶,清乾隆,高37.5，口径9.5，底径12.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10956-A-01.jpg
856,清乾隆冬青釉带盖葫芦瓶,清乾隆,高34.8，口径2.9，底径9.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：10960-A-01.jpg
857,清雍正黄釉瓷碗,清雍正,高6.7，口径14.9，底径5.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11000-A-01.jpg
858,清康熙黄釉暗花团龙纹盏托,清康熙,高1.8，口径13.8，底径10.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11038-A-01.jpg
859,清雍正白釉瓷盘,清雍正,高5.7，口径29.3，底径18.3  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11072-A-01.jpg
860,清康熙酱釉瓷碗,清康熙,高6，口径12.5，底径7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11086-A-01.jpg
861,清康熙酱釉瓷碗,清康熙,高6，口径12.5，底径7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11121-A-01.jpg
862,清康熙青花缠枝莲纹瓷碗,清康熙,高6.2，口径12.5，底径5.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11131-A-01.jpg
863,清乾隆青花双犄牡丹纹瓷碗,清乾隆,高6，口径11.2，底径4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11207-A-01.jpg
864,清乾隆斗彩莲池鸳鸯纹瓷碗,清乾隆,高5，口径10.5，底径4.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11257-A-01.jpg
865,清雍正青花梵文瓷盘,清雍正,高3.8，口径17.5，底径11  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11307-A-01.jpg
866,清乾隆黄釉瓷碗,清乾隆,高8.2，口径18.5，底径7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11592-A-01.jpg
867,清雍正淡描青花缠枝莲纹瓷碗,清雍正,高6.8，口径14，底径5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11610-A-01.jpg
868,清雍正淡描青花缠枝花卉纹瓷碗,清雍正,高6.5，口径13.4，底径4.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11624-A-01.jpg
869,清雍正淡描青花缠枝花卉纹瓷碗,清雍正,高6，口径12.9，底径4.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11649-A-01.jpg
870,清乾隆茶叶末釉双耳葫芦瓶,清乾隆,高26，口径3，底径8.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11730-A-01.jpg
871,清康熙釉里红团凤纹瓷盅,清康熙,高5.9，口径9，底径4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11782-A-01.jpg
872,清康熙釉里红团龙纹瓷盅,清康熙,高5.9，口径9，底径3.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：11854-A-01.jpg
873,清乾隆白釉瓷盘,清乾隆,高3.6，口径19，底径11.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12024-A-01.jpg
874,清雍正斗彩缠枝莲纹瓷碗,清雍正,高6.7，口径14.4，底径5.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12053-A-01.jpg
875,清雍正斗彩缠枝花卉纹瓷碗,清雍正,高6.1，口径14.5，底径5.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12054-A-01.jpg
876,清康熙青花缠枝莲纹瓷盘,清康熙,高7.2，口径38，底径25  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12098-A-01.jpg
877,清乾隆黄釉暗龙纹瓷碗,清乾隆,高6，口径12.4，底径4.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12144-A-01.jpg
878,清雍正祭蓝釉高足瓷碗,清雍正,高11.3，口径17.5，底径7.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12163-A-01.jpg
879,清乾隆青花八吉祥纹高足瓷盘,清乾隆,高8.6，口径17，底径8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12171-A-01.jpg
880,清乾隆黄釉暗龙纹瓷盘,清乾隆,高4.1，口径17.5，底径11.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12177-A-01.jpg
881,清乾隆黄釉暗龙纹瓷盘,清乾隆,高4.1，口径17.5，底径11.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12222-A-01.jpg
882,清乾隆白地绿彩龙纹瓷盘,清乾隆,高4.2，口径17.8，底径10.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12246-A-01.jpg
883,清雍正天青釉瓷碗,清雍正,高5.9，口径15.5，底径5.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12284-A-01.jpg
884,清康熙黄釉瓷碗,清康熙,高6.8，口径18.5，底径7.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12406-A-01.jpg
885,清嘉庆蓝地黄彩云龙纹瓷盘,清嘉庆,高4.5，口径25.1，底径16.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12576-A-01.jpg
886,清雍正釉里红三鱼纹瓷碗,清雍正,高8.2，口径22.4，底径9.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12586-A-01.jpg
887,清乾隆祭蓝釉瓷碗,清乾隆,高11.6，口径23.6，底径10.3  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12596-A-01.jpg
888,清嘉庆蓝地黄彩云龙纹瓷碗,清嘉庆,高4.5，口径10，底径4.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12599-A-01.jpg
889,清乾隆素三彩龙纹瓷盘,清乾隆,高3，口径14.3，底径8.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12610-A-01.jpg
890,清乾隆青花鱼龙变化纹瓷豆,清乾隆,高18.2，口径22.7，底径17  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12897-A-01.jpg
891,清乾隆黄地青花折枝花卉纹折沿瓷碗,清乾隆,高8.5，口径26，底径9.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/30\2.0：12963-A-01.jpg
892,清乾隆青花开光瑞果纹瓷执壶,清乾隆,高30，口径6，底径10.4，腹径18.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13074-A-01.jpg
893,清乾隆黄地绿彩云龙纹瓷碗,清乾隆,高6.8，口径14，底径6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13166-A-01.jpg
894,清雍正白釉瓷盘,清雍正,高3.2，口径14.8，底径9.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13251-A-01.jpg
895,清康熙黄釉瓷碗,清康熙,高17.3，口径36.6，底径15.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13296-A-01.jpg
896,清雍正黄釉绿彩海水纹瓷盘,清雍正,高7，口径35.4，底径21.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13347-A-01.jpg
897,清康熙青花缠枝花卉纹瓷碗,清康熙,高6.7，口径13，底径5.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13403-A-01.jpg
898,清乾隆青花釉里红折枝花卉纹盏托,清乾隆,高7.1，口径6.5，底径8.6，宽16.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13558-A-01.jpg
899,清康熙青花缠枝莲花纹盖罐,清康熙,高53，口径21.5，底径23，腹径37  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13561-A-01.jpg
900,清雍正青花折枝瑞果纹瓷碗,清雍正,高6.1，口径15.4，底径5.3  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13643-A-01.jpg
901,清乾隆天青釉瓷杯,清乾隆,高3.8，口径5.5，底径1.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13683-A-01.jpg
902,清雍正祭蓝釉瓷杯,清雍正,高4.3，口径5.3，底径2.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：13773-A-01.jpg
903,清乾隆钧红釉胆式瓷瓶,清乾隆,高47，口径4.8，底径12.5，腹径23.3  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14154-A-01.jpg
904,清嘉庆粉彩过枝瓜蝶纹瓷碗,清嘉庆,高6.1，口径10.9，底径4.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14155-A-01.jpg
905,清雍正淡描青花云蝠纹瓷碗,清雍正,高4.5，口径10，底径3.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14183-A-01.jpg
906,清乾隆茶叶末釉瓷瓶,清乾隆,高19.1，口径4.1，底径7.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14380-A-01.jpg
907,清乾隆红彩塔式瓷瓶,清乾隆,高22，口径3.2，底径11.9  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14404-A-01.jpg
908,清康熙白釉暗刻龙纹瓷碗,清康熙,高8，口径15.6，底径6.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14432-A-01.jpg
909,清康熙米黄釉瓷碗,清康熙,高5.5，口径12.3，底径5.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14551-A-01.jpg
910,清康熙素三彩龙纹瓷盘,清康熙,高2.5，口径13，底径7.6  厘米,敞口，弧腹，圈足，内外均饰黄地素三彩，盘心为双龙戏珠，外壁为折枝葡萄纹。,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14666-A-01.jpg
911,无标题,无年代,无尺寸,无简介,无图片
912,清康熙素三彩龙纹瓷盘,清康熙,高2.7，口径13.1，底径7.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14695-A-01.jpg
913,清雍正白釉瓷碗,清雍正,高6.1，口径11.8，底径4.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14766-A-01.jpg
914,清雍正黄釉暗龙纹瓷碗,清雍正,高6，口径12.2，底径4.8  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：14816-A-01.jpg
915,清乾隆米黄釉束腰瓷碗,清乾隆,高8.1，口径15.6，底径6.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15014-A-01.jpg
916,清康熙黄釉暗龙纹瓷盘,清康熙,高4.1，口径17.7，底径10.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15284-A-01.jpg
917,清康熙黄釉暗刻缠枝莲纹瓷盘,清康熙,高4.1，口径17.6，底径10.6  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15295-A-01.jpg
918,清康熙黄釉瓷盘,清康熙,高4.5，口径20.3，底径13.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15310-A-01.jpg
919,清乾隆黄地绿彩团龙纹瓷碗,清乾隆,高6.9，口径14.2，底径6.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15341-A-01.jpg
920,清乾隆黄地绿彩团龙纹瓷碗,清乾隆,高6.8，口径14.6，底径6.1  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15352-A-01.jpg
921,清康熙黄釉瓷盘,清康熙,高4.3，口径20.5，底径13.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15374-A-01.jpg
922,清雍正斗彩花卉纹瓷碗,清雍正,高5，口径10.1，底径3.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15395-A-01.jpg
923,清乾隆青花桃蝠纹双耳扁瓶,清乾隆,高24.2，口径5.5，底径8.3×5.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15497-A-01.jpg
924,清乾隆祭蓝釉瓷碗,清乾隆,高7.7，口径17.7，底径7.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15501-A-01.jpg
925,清乾隆黄地绿彩喜鹊桃石纹瓷碗,清乾隆,高6.3，口径12.4，底径5.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15531-A-01.jpg
926,清乾隆黄地绿彩喜鹊桃石纹瓷碗,清乾隆,高6.3，口径12.4，底径5.4  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15573-A-01.jpg
927,清雍正淡描青花宝相花纹瓷盘,清雍正,高4.2，口径21，底径14  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15579-A-01.jpg
928,清乾隆青花开光花卉纹瓷瓶,清乾隆,高13.6，口径4.7，底径3.3  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15594-A-01.jpg
929,清雍正黄釉瓷盘,清雍正,高4，口径20.5，底径12.7  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15635-A-01.jpg
930,清乾隆青花缠枝莲纹牛头尊,清乾隆,高44.6，口径16.8，底径24.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15667-A-01.jpg
931,清康熙黄釉瓷碗,清康熙,高6.5，口径11.8，底径4.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15749-A-01.jpg
932,清雍正淡紫釉刻缠枝石榴纹瓷盘,清雍正,高3，口径14.6，底径9.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：15895-A-01.jpg
933,清雍正绿釉暗刻石榴纹瓷盘,清雍正,高3.5，口径16，底径10  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：16126-A-01.jpg
934,清康熙青花缠枝莲纹瓷盘,清康熙,高3.1，口径15.2，底径9.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：16472-A-01.jpg
935,清雍正黄釉暗刻龙纹瓷碗,清雍正,高6.7，口径15.4，底径6.2  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/10\2.0：16647-A-01.jpg
