名称,年代,规格,简介,图片url
-【宋】钧窑月白釉钵-,宋,高5.8厘米 口径10.3厘米 底径4.8厘米,敛口，弧腹，矮圈足。通体施月白釉，釉质凝厚滋润，清淡雅致。外施釉不到底，凝聚处如泪痕。足部露胎，胎色黄褐。口沿下流釉，釉薄呈黄褐色。钧窑为宋代五大名窑之一。钧釉种类繁多，其主要釉色有月白、玫瑰紫、海棠红、天蓝、天青等色之分，钧窑大部分产品的基本釉色是各种浓淡不一的蓝色乳光釉，较淡的蓝色称天青，较深的称天蓝，此器比天青更淡，故称月白，具有萤光般的幽幽光泽。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210206102425ZtM0ve.jpg
-【明 永乐】青花缠枝花卉碗-,明 永乐   ,高7.8cm 口径17cm 底径7.8cm,整器造型规整，撇口、弧腹、圈足，圈足高深外撇。胎质细腻洁白，通体施白釉，釉色晶莹肥厚，白中闪青。器内壁青花绘缠枝牡丹、菊花、石榴、莲花、芙蓉、秋葵等花卉纹饰，碗中心青花双圈，圈内绘折枝牡丹花。器物撇口处绘回纹一周。器外壁青花绘四层纹饰，从上到下分别为卷草纹、缠枝莲、变相莲瓣纹、曲带纹。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051644249QutfN.jpg
-【明】青花缠枝牡丹纹大碗青花缠枝牡丹纹大碗-,明 宣德   ,高10.6cm 口径29.3cm 底径12.3cm,整器造型规整，胎质厚重，据说此碗是宫廷赌具，用来投掷骰子。碗敞口、弧腹、圈足。碗心素白，外墙绘花。口沿及圈足纹饰相同，双蓝线圈二道，圈内画梅花，排列四周，分别为三十一朵和十六朵。腹部正面书有“大明宣德年制”横款。外墙中部绘有缠枝牡丹花八朵，枝叶并茂，疏放有致。花下为仰式莲,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031064322G5VTUw.png
-【清】广彩人物渔船碗-,清    ,高5.5cm 口径10.2cm 底径4.7cm,“粤东海珠”“粤东省城十三行”，碗内底部绘有一条小船。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031070852I50yVT.png
-【明 永宣】青花缠枝葡萄大盘-,明 永宣,高6.8厘米 口径37.7厘米 底径24.1厘米, ,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205182628X6WOcR.jpg
-【明】青白瓷牧童骑牛件-,明   ,高17.2cm 宽12.3cm,胎体厚重，釉色青白。瓷塑牧童骑牛。底部呈火红色，有窑风。,https://file.szmuseum.com/WaterMark/文章管理缩略图/201510310625585EMlPh.png
-【明】时大彬紫砂壶-,明   ,长19cm 宽11cm 高17.3cm,壶盖内有“方制”印，桂花泥紫砂，底部有“时大彬制”，附锦座，楠木框。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031071913M2KTMG.png
-【明 宣德】青花缠枝莲花盘-,明 宣德,高3.3厘米  口径13.7厘米  底径8厘米,器足向里收敛，器口外撇的撇口盘，通体施白釉，釉面细白匀净，呈桔皮纹，盘中心饰有青花折枝莲一朵，内外壁各有青花缠枝莲六朵。整个青花纹饰豪放，笔法酣畅淋漓，青花明快、浓重与淡雅参差相间。在施满釉底的蓝色双圈内为“大明宣德年制”六字楷书青花款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205171302wGVfx6.jpg
-【宋】影青獸鈕顶壶-,宋   ,统高22.1cm 腹径12.4cm,"高颈,平口,有盖把，盖上有两穿孔，圈足有五支烧痕。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031070542C2PqNA.png
-【明】三彩褐斑虎枕-,明,高16.6厘米 长28厘米 宽10.7厘米 ,此件瓷枕是明代的三彩瓷枕，器物中空，胎呈红棕色，在施有白色的化妆土上用绿、黄、棕褐三色装饰。整器造型为一只匍匐于须弥座上打瞌睡的老虎，虎目微睁，口含仙草，缩颈低头，四肢趴卧，虎尾随身形蜷至老虎腹部。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205201409ZOIW6h.jpg
-【清 雍正】釉里红海水龙纹观音瓶-,清 雍正    ,高13.7cm 口径3.4cm 底径3.7cm,此瓶盘口，唇沿，短颈，丰肩，肩下弧线内收，圈足。胎骨洁白细腻，通体施透明釉，釉色白中闪微青。主题以釉里红海水龙装饰。足部一周海水江牙，一龙（三趾）从海水江牙中腾飞而出，俯视前方的火珠，肩上火焰映天。右下方有一龙在海水中仰首欲腾，目视火珠，构成一幅水中二龙戏珠图。釉里红发色鲜艳纯,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210206171216je6xOp.jpg
-【唐】巩县窑绞胎花枕-,唐,高10厘米 纵14.7厘米 横21.5厘米,枕部略作凹弧，枕面上三组白褐相间的绞胎团花，中间为一圆形莲瓣，分出五瓣梅花状花蕊。左右二组纹饰略小且有弧角，形如蓓蕾，纹理富有变化。瓷枕墙身以褐色圈、点、线组成花形连续图案，色彩和谐，造型大方，装饰美观。枕底施以绿彩，直行“裴家花枕”刻款。绞胎是唐代开始兴起的一个装饰品种，用白褐两种色调的瓷土相间地揉和在一起，然后拉坯成型，上釉焙烧即成绞胎瓷器。已知唐代有“杜家花枕”和“裴家花枕”，传世极少。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205202458vngUc1.jpg
-【元】釉里红缠枝菊花菱花口盏托-,元,高2.6cm 口径19.6cm 底径13.4cm, ,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210222152154GRpiJA.jpg
-【清】洒蓝反口石榴尊-,清 雍正   ,高18.2cm 口径7.6cm 底径6.8cm,此尊整个造型呈圆球形，五瓣形花口外撇束颈，圆肩圆腹，卧底假圈足，胎质坚緻细白，通体采用含钴彩料为着色剂，效果似洒落的水滴，由于洒落的钴料深浅不一，釉色形成了迷人的青、蓝、白错落有致的斑点，似青蓝中飘洒点点雪片，颇为可爱，并富有动感。底圈足内书青花篆体"大清雍正年制"六字三行款。釉面花纹犹如洒落的水滴一样，故称"洒蓝"，又名"雪花蓝"，"青金蓝"。而洒蓝明宣德时就已出现，清康熙时才完全成熟。石榴尊为雍正时期一种新造型，因为石榴是中国的三大吉祥果（石榴、佛手、桃子）之一，吉祥寓义多子多孙。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031064144l9sNMF.png
-【清】青花抢珠龙团福寿如意耳扁形葫芦瓶-,清 乾隆    ,高31.9cm 口径5.1cm 底10cm,景德镇，无款，团寿，蝙蝠，双龙，缠枝，绶带。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031070431Ov1dj1.png
-【明 宣德】青花缠枝花卉纹豆-,明 宣德,口径8厘米  底径6.6厘米  高10厘米,胎骨厚重，敛口，鼓腹，高圈足，足胫短，足座外撇中空。釉色白中泛青，细腻如脂。豆心内绘蓝色双圈，内画折枝花卉一枝。外壁口沿处画斜格纹一周，蓝线圈两道，下面书有“大明宣德年制”六字单行的楷书匾额式款。外壁的腹部饰缠枝花卉六朵，花下仰莲三十三瓣，中隔弦纹七道，沿足处绘莲瓣纹，隔一周蓝线圈，绘点连珠纹一周。原器有盖，今已佚。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205183346XhFNhl.jpg
-【民国】鹊梅花碗-,民国   ,高6.2cm 口径12.6cm 底径4.9cm,该套粉彩碗，盘造型为口弧而外侈，腹内折，圈足。胎质精白如雪，彩质纯净，器内外以过枝手法饰粉彩梅鹊图。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031065913U51L4v.png
-【明 正德】鲜红白鱼暗花盘-,明 正德    ,高4.1cm 口径20.8cm 底径12.2cm,造型端庄凝重。胎质细润。口微撇，斜壁，浅弧腹，圈足微内敛。盘壁所饰鲭、白、鲤、鳜四尾鱼寓有“清白廉洁”之意，此种纹样在明中晚期景德镇官窑瓷器上甚为流行。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205192120mEq1LQ.jpg
-【明】德化窑立相达摩立像-,明,高12.6厘米,此器通体施透明釉，砂底无釉，中空，釉色温润如玉，微带牙黄，整个造型比例恰当，形象生动。达摩容貌威严，身材伟岸，广额深目，高鼻挺直，满脸虬须，身穿袈裟，双手拢袖于胸前，赤足立于波涛之中，随风上下，御风作渡海状，衣褶旋回转折，线条圆润流畅，形象超凡绝尘，神采飞动。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205202320n2QxFK.jpg
-【民国】居仁堂粉彩梅雀盘-,民国   ,高3.5cm 口径15cm 底径7.5cm,该套粉彩碗，盘造型为口弧而外侈，腹内折，圈足。胎质精白如雪，彩质纯净，器内外以过枝手法饰粉彩梅鹊图。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031065757pvvCjR.png
-【民国】鹊梅小花碗-,民国   ,高5cm 口径10.7cm 底径4.1cm,该套粉彩碗，盘造型为口弧而外侈，腹内折，圈足。胎质精白如雪，彩质纯净，器内外以过枝手法饰粉彩梅鹊图。,https://file.szmuseum.com/WaterMark/文章管理缩略图/201510310700346IFB1S.png
-紫砂松鼠偷瓜洗子-,清 乾隆    ,高5.1cm 长10cm 宽8.8cm,此洗子塑成一个附着蔓叶的瓜果，观之赏心悦目。瓜身上有被咬成不规则的大孔，中空瓜成一层皮壳子，上方叶面留有一松鼠在啃咬瓜叶，瓜叶中不显眼的地方有篆体阳文“鸣遠”两字小方印。瓜洗泥色呈灰白色，并夹有大量的白色砂粒。瓜楞，残剩的皮肉、藤须、蔓叶形象生动，茎叶的卷曲缭绕富有力，叶片的叶脉,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031071334yaKvcM.png
-紫砂桂枝歇蝉摆件-,清   ,长14.9cm,此笔架用含有白色细砂粒的灰带棕色泥塑盛开桂花枝一段，上并有一蝉。在十一朵桂花．六朵花蕾和三片树叶组成的桂枝上所塑的九个小断枝及四个断枝疤、枝的断面疤纹，叶上的穿孔、残面和蝉的头、身、腹、足、翅、翼、筋等制作精细，形象生动逼真，似刚飞来的蝉在桂枝上歇息，桂枝下并有陈鸣远等篆体阳文三,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031071613FT3770.png
-【清】仿徐友泉紫砂壶-,清  ,纵10.2cm 横7.2cm 高8.3cm,"清仿,双瓜棱状，底部有“友泉”款。",https://file.szmuseum.com/WaterMark/文章管理缩略图/201510310717265jgzp2.png
-【明 永乐】青花鸡心底碗-,明 永乐   ,高9cm 口径16cm 底径4.3cm,器物底心有鸡心样突起，腹深足小。通体施白釉，呈青白色调，釉面肥厚晶亮，青花绚丽鲜艳，清晰明快，有浓重凝聚的结晶斑点，呈星状点滴晕散现象，表面凹凸不平。器内由口沿的单线纹和中心的宝相花及一圈缠枝宝相花构成，器外由口沿的回纹、下腹的莲瓣纹、圈足的海水纹组成。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205164933T6Ipog.jpg
-【清】少妇哺婴泥塑-,清   ,高13.9cm 宽9.7cm 厚5.4cm,少妇哺婴塑造了一位年轻女子给婴儿喂奶刚完毕的情景：少妇微微俯首，脸型清秀，安详的神态中透露出对孩子的爱意无限。怀中的婴儿天真可爱，吮饱了乳汁，欢快地翘起两个小脚，小手拉着母亲的衣襟，这种婴动妇静，形成了鲜明的对比。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031071217fHUXre.png
-【清 道光】雕瓷象牙色人物纹笔筒-,清 道光   ,高14.2cm 口径15.5cm 底径14.5cm,此笔筒直口，筒形腹，底内凹呈浅圈足，器壁厚重，故口沿及足端面均较宽。胎质坚硬细腻，晶莹结白，通体八仙观太极图剔划而成，人物均凸出器表，且有前后深浅之变化。器底有“陈国治作”阴文楷书刻款。旁并有“觉圆珍玩道光丁未嶺海冯子良誌”墨铭。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031063910Zd5Sk5.png
-【明 正德】抹红缠枝牡丹盘-,明 正德   ,高4.1cm 口径17.5cm 底径10.8cm,器口外撇，器足向里收敛，釉面纯白匀净，但白中带灰，盘外壁釉上以珊瑚红绘缠枝牡丹六朵，以枣皮红勾勒花叶，口沿外及腹股处双红边线，圈足下沿为单红边线、底部为双圈&quot;正德年制&quot;四字楷书红款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205191745Ie2Tmf.jpg
-【清 乾隆】青花海水龙纹高足盘-,清 乾隆,高18.2厘米 口径23.2厘米 底径17.7厘米,胎体厚重，直壁浅腹，下承高足，足内中空外撇，器形挺拔。釉质润泽，盘内施白釉，外壁绘青花贯套花卉纹一周。足部满绘青花海水鱼龙变化图，鱼儿海中嬉戏，海水波涛中，一条出海蛟龙张牙舞爪腾空而起。高足边沿内书“大清乾隆年制” 青花六字一行篆书款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210222134638Zj8f76.jpg
-【明】青花折枝花果尺盆-,明 宣德  ,高5cm 口径29.9cm 底径20.3cm,敞口、浅弧腹、圈足，沙底。器形规整，胎质细腻，釉层滋润。青花色泽纯蓝，没有黑色锈斑，为国产含锰较高的钴土矿青料烧造。盘内壁绘青花折枝仙桃、荔枝、樱桃、柿子，盘中心纹饰为千叶榴花。外壁沿口处有青花匾额式款&quot;大明宣德年制&quot;。腹部四周为折枝番莲四组。底足露胎，以火石红料护胎。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031065312U8nNbB.png
-【清】绿地描金花瓷瓶-,清   ,高22.6cm 口径5.5cm 底径6.6cm,凸螭虎龙，有款，六字三行篆书“大清乾隆年制”。,https://file.szmuseum.com/WaterMark/文章管理缩略图/201510310655222pdZfM.png
-【明 嘉靖】酱釉双龙戏珠纹香炉-,明 嘉靖,高12厘米 口径13.7厘米 底径12.8厘米,造型稳重，胎体厚实。平口，厚唇，筒身，底有三足。炉内素白，外壁及器底施酱色釉，釉面匀净肥润。酱釉也称紫金釉，因为釉料中含有紫金土而得名，是一种以铁元素为着色剂的高温釉，颜色接近芝麻酱。腹部以白色双龙戏珠纹为装饰，双龙张牙舞爪，气势不凡，龙体矫健，身躯翻腾转侧，周围间以祥云。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205194637Qtl0ki.jpg
-【明】抹红海水青花飞兽把杯-,明万历   ,高8.9cm 口径9.7cm 底径4.8cm,平底高足，釉面平整，乳白莹润，青花发色呈蓝中微泛紫，纹饰在怀外壁为红彩海水，青花苍龙及麒麟、海马、飞象、狮子、瑞鹿、鸾雀、鲤鱼等组成，杯把为红彩海水山石，白色怀心中为青花双圈&quot;大明万历年制&quot;六字楷书款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20151031063055e2sYIl.png
-【清】彭年款紫砂笔筒-,清  ,"高8.2cm,长8cm,宽6.1cm",树根形笔筒。紫红色砂泥。器身刻有"轻烟佳月夕阳微雪 乙末夏日 少云制"。器底篆书"彭年"阳文款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150616092322YCxhfQ.jpg
-【清】紫砂干果洗-,清,高3.7厘米 长9.9厘米 宽8.3厘米,乾果杯实为象生器。是用含有白色细砂的棕色泥塑半爿栗壳型杯，下在浅棕色的板栗蒂疤处，用黄泥塑胡桃一只，旁附白色泥作的西瓜子一粒；在杯底胡桃，瓜子的左上方，有用棕色泥塑的乌菱一只及白色泥作的花生果一颗，右上方有用深紫泥塑的荔枝及白泥塑的白果各一粒，作杯的支衬足及把柄。通过敏锐的艺术观察力和精湛的制作，形象生动，色彩精巧逼真且楚楚有致。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150616093731XzoYAP.jpg
-【明】德化窑白瓷凸花高足簋-,明,高9.9厘米 口径14厘米 底径10.9厘米,簋式炉造型，敞口，平口沿，短束颈，扁鼓腹，胫部折收，外撇圈足，平底。足端露胎，胎质润白如玉。内外施白釉，釉质肥厚滋润如凝脂，似象牙白。颈部饰凸花一周，颈腹部饰双瑞兽耳，圈足外侧饰回纹二周。明洪武二年（公元1369年），朱元璋诏令“凡祭器皆用瓷”，从而仿青铜造型的瓷制簋、斝、爵、觚、香炉等陈设供器也被当作贡品，在宗庙社坛，敕封寺观以及陵墓中出现。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205202145Xpdp2W.jpg
-【清 顺治】青花天女散花碗-,清 顺治（1644-1661）  ,"高7.2cm,口径12.9cm,底径6cm",器形规整，撇口，深腹，腹微收，圈足。器足高深，足边修正圆滑齐整。胎体细腻，釉色白中闪青，青花色泽淡雅，呈色稳定。整器构图严谨，以线条纤细的淡描技法来装饰器物的内外壁。器内壁中心青花双圈内绘婴戏图。器外壁绘有两组带有浓厚唐朝风韵的天女散花纹饰，人物生动逼真，衣纹动感飘逸。底书"大清顺治年制"青花双圈六字二行楷书款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210206105808XU5tPN.jpg
-【明 万历】青花海水云龙纹高足杯-,明 万历,高8.8厘米  口径10.1厘米  底径4.6厘米,足形为平底高足，釉面平整，乳白莹润，青花发色蓝中泛紫，杯外壁饰两条云龙，其中一条为仰首向前追赶，另一条为回首嬉耍，在天空中穿云追逐，腹部为海水山石，杯把饰十五朵云纹。在杯中心有 “大明万历年制” 双圈六字楷书青花款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205195551zcrxzG.jpg
-【明 正德】黄地绿龙盘-,明 正德（1506－1521）,高3.9厘米 口径18.6厘米 足径12.9厘米,此盘胎质细致，胎体厚薄均匀，口微敛，浅弧腹，矮圈足，底微塌。绿彩柔和，黄彩娇嫩，圈足釉底内有青花“正德年制”四字二行双圈楷书款。黄地绿彩，始创于永乐期，是皇家控制最严格的一种釉色，明清两代黄釉器只有皇家才能使用，有严格的等级差异。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202102061609004LenC0.jpg
-【清 雍正】青花釉里红桃子天球大瓶-,清 雍正（1723－1735）,高55.6厘米 口径12.9厘米 底径17.8厘米 腹径38厘米,此器口微撇，长颈，假圈足，腹部丰满浑圆，似天体中的星球，故名“天球瓶”。整器比例合度，假圈足处理光滑，画面以青花绘桃树，桃叶，勾勒花、桃，釉里红色作花蕊、花瓣之色，大小寿桃九只。釉里红的烧造技术高超，釉厚处呈微黄绿色，显出了寿桃的成熟感。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210206171329NjUxXq.jpg
-【清 雍正】 斗彩牡丹蝴蝶纹盘-,清 雍正（1723－1735）,高4.5厘米 口径21.2厘米 底径13.6厘米,胎质坚致细白，为直口，圆腹，墩式盘。直圈足，修治规正，圆滑成泥鳅、蚯蚓背。通体施透明釉，釉洁白滋润带微青。器物口沿内外均有一青花蓝圈，器心双蓝圈内用青翠色调的青花绘画湖石，并双勾牡丹的枝、叶、花及两只翩翩的蝴蝶轮廓，再在青花轮廓内填以薄而淡雅的红、黄、赭、绿色作花、蝶、枝叶的色彩。器外壁以同一方式绘湖石、花草、芙蓉、蝴蝶等。以蓝弦装饰圈足，并在施白釉的器底双蓝圈内书写青花“大清雍正年制”六字二行楷书款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210207160601Ivgyjq.jpg
-【民国】居仁堂粉彩梅鹊纹碗-,民国（1916）, ,粉彩瓷创烧于康熙朝晚期，制作工艺是在素瓷上勾勒图案，在需要晕染的地方用玻璃白粉打底，施彩后用笔将颜色染开，使之呈现阴阳浓淡的立体感，极具装饰效果。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150615052444GrKmi9.jpg
-【明】广窑褐彩魁星像-,明（1368－1644）,高23厘米 口径10.3厘米 底径5.2厘米,胎质坚致，色白微灰，通体施釉，但不到底，釉为乳浊釉，聚厚处呈乳白色，薄处呈透明色，在人物的发髻、眉毛、眼睛、项圈、手镯、脚镯、衣褶边缘及帛带处着褐彩。整个塑像比例协调，生动的描绘了“鬼举足而起其斗”之魁星状。“魁星”是我国古代神话中“奎星”的俗称，又称“文曲星”，是主宰文章兴衰的神。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205202018WdlQyb.jpg
-【清】粉青釉反口石榴尊-,清雍正,高16.2cm，口径6.9cm,五瓣石榴形，花瓣形唇口外翻，短束颈，腹部浑圆，平底。通体施粉青釉，釉色滋润柔和，匀净淡雅，釉面质感强烈，光洁明亮。底书"大清雍正年制" 青花六字三行篆书款。整器造型端庄，线条饱满流畅，古朴典雅，为不可多得的佳品。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150615051530FvPE5b.jpg
-【明 宣德】青花折枝花果大盘-,明 宣德,高5厘米 口径29.9厘米 底径20.3厘米,胎质细腻，器形规整，侈口、浅弧腹、圈足，沙底。青花色泽纯蓝，没有黑色锈斑，为国产含锰较高的钴土矿青料烧造。盘内壁绘青花折枝仙桃、荔枝、樱桃、柿子，盘中心纹饰为千叶榴花。外壁口沿处有青花匾额式款“大明宣德年制”，腹部四周为折枝番莲四组。底足露胎处火石红明显。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205170957R3lTV4.jpg
-【清】清乾隆粉彩斋戒牌-,清 乾隆,"纵6.6cm,横4.4cm,厚0.8cm",“斋戒”二字，后有满文。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150615051145BgAma9.jpg
-【明 万历】抹红海水飞兽纹高足杯-,明 万历,高8.9 厘米  口径9.7 厘米 底径4.8厘米,平底高圈足，釉面平整，乳白莹润，青花发色呈中微泛紫，杯外壁饰红彩海水，间以青花苍龙及麒麟、海马、飞象、狮子、瑞鹿、鸾雀、鲤鱼等，杯把为红彩海水山石，白色杯心为青花双圈“大明万历年制”六字楷书款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205200135Vy8g83.jpg
-【清】洒蓝釉反口石榴尊-,清, ,胎质坚致细白。石榴形，五瓣花口外撇，束颈，圆肩，圆腹，卧底假圈足。通体采用钴彩料为着色剂，釉面花纹犹如洒落的蓝色的水滴，故称“洒蓝”，又名“雪花蓝”、“青金蓝”。由于洒落的钴料深浅不一，釉色形成了青、蓝、白错落有致的斑点，似青蓝中飘洒点点雪片，颇为可爱，并富有动感。外底书“大清雍正年制”青花六字三行篆书款。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150615052911ftx800.jpg
-【清】荷叶形铜炉-,清,口径13.6厘米 高10.7厘米,该器为莲花式炉，口沿厚唇且外侈，左右起桥耳。束颈，腹呈六瓣莲花式，丰腴端庄，向下渐收成平底，下具三短足。外底为阳文“宣德年制”四字楷书方款。皮壳栗色，包浆丰厚、自然，沉重压手。内膛麻沙质感，符合晚明清初铸炉特征。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_67.jpg
-【清】曹素功紫玉光墨-,清,无尺寸,"五锭，有长方形，委角长方形两种形状。墨面额间嵌珍珠一颗，下阴文楷书填金紫玉光。墨背雕竹石、蝴蝶、蝙蝠、灵芝、松枝、仙鹤等，并有填金、填蓝等装饰。何澄子女捐赠。
曹素功墨品有十八种，紫玉光墨为第一，乃康熙皇帝南巡时赐名。",https://file.szmuseum.com/WaterMark/文章管理缩略图/文房雅玩_0078.jpg
-【清】桥形耳三足雨雪金铜炉-,清,口径12.4厘米 高8厘米,此炉圆唇，口沿外撇，颈部略收，口沿之上起双桥耳斜立，两耳纤细流畅，腹部圆鼓，炉壁厚薄均匀，下承三足。外底部施以阳文“大明宣德年制”六字楷书款，“德”字有一横。皮色雨雪金。周身素面无纹，简洁雅致。可称清代桥耳之标准器也。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_50.jpg
-【清】曹素功百寿墨-,清,无尺寸,长方柱形。墨体四面均阴文篆书填金三行寿字，左右两行八字，中间九字，共一百字。墨顶阴文楷书填金曹素功制。何澄子女捐赠。,https://file.szmuseum.com/WaterMark/文章管理缩略图/文房雅玩_0082.jpg
-【清】雕漆方果盒-,清 ,高10.2厘米 口径29.2厘米,盒为方形棱角，子母口，漆色呈枣皮红，盒正面开光，线框内剔刻麻姑献寿图，边线以一道回纹与莲花瓣纹装饰，盖肩底腹四面剔刻轮、螺、伞、肠、花、罐、鱼、盖八宝图案，圈足刻回纹与盖上所刻回纹相呼应。内侧与底部涂黑漆。此雕漆果盒采用吉祥如意图案，浮雕立体感强，刀锋圆润，融多种雕漆技法于一体，规整端庄、朴实典雅，是一件不可多得的佳作。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210207170934UlaHuN.jpg
-【清】 蝉形玉琀-,清 ,长 4.6厘米,此蝉形白玉玉含，造型略扁，头呈弧形，凸眼似钉帽，背部刻划双翼。上腹部有两条交叉的弧线，表示蝉的鸣腔，下腹部以弧形横线，表示蝉的腹节。造型准确，纹饰简洁。玉蝉琢磨精细，尤其是坡形线磨得光滑圆润。玉蝉的线条凝练挺拔，走刀处见棱见锋，表现出匠师高超的造型能力，显示出“汉八刀”的底蕴。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210207140505O919rq.jpg
-【清】犀角荷叶杯-,清  ,口径11.1-7.4 厘米 高3.8厘米,此杯利用犀角原形，剔去少许，雕成一只敞口收足的荷叶形酒杯，荷叶边沿或外卷或内折，自然生动。口沿一侧雕一柳叶形虫蛭，杯内壁阴刻荷叶筋络，杯外壁起线刻荷叶筋络，并与杯内壁的叶筋一一呼应。外壁一侧叶筋间隙处阳刻草书三行：“恩从黄甲醉，听荷索羅深”，外壁另一侧雕有六足双钳水虫一只。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210207164610NqKDOP.jpg
-【战国】铜削-,-【战国】铜削-,长21.3厘米 刃长12.3厘米 宽1.9厘米,环形把手，单面刃，刃尖有磨损。在纸张大量使用之前，以竹简木牍为主要书写材料，铜销用于修治简牍。,https://file.szmuseum.com/WaterMark/文章管理缩略图/文房雅玩_0133.jpg
-【清】黄玉书镇-,清 ,长 8厘米 宽 5.7厘米 高 2.8 厘米,书镇为不规则卵形，玉质细密，温莹润泽，色呈淡黄，内有黑斑，带红色斑点。随形浮雕云龙戏珠，云头重重，龙身隐掩其中，龙首及前胸、左腿、右爪则拨云而出，且左右爪腿一前一后极尽开张之势，表现了龙的矫腾舞虬之姿。龙首短而方，毛发杂生，并有锯齿形腮须，眼如“虾米”外凸 ，龙须左右飘拂。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210207150736ylS5go.jpg
-【清】狮耳圈足雨雪金铜炉-,清,口径14.1厘米 高7.4厘米,此炉口沿方中带圆，虽曲折有度，但不失流线动感。束颈，腹部鼓垂，圈足外撤。底款施以阳文“大明宣德年制”六字楷书，端正工整，铸造清晰，皮作棠梨色，光滑亮泽其身两侧的狮耳硕大，纵向几乎占炉身的三分之二，其精细入微的工艺，可谓此炉最大的亮点。以高浮雕铸成，雄狮额头脸面多处突起，表现出肌肉骨骼的质感。眉毛由三部分曲卷合成，加以阴刻毛丝。两目有神，阔鼻大口，獠牙外露，鬃毛刻画流畅，一气呵成，威风凛凛。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_45.jpg
-【清】冲天耳三足铜炉-,清,口径8.8厘米 高6.5厘米,圆唇，口微侈，束颈圆鼓腹，圈底渐收，下承三乳足。外底施以阳文“允中家藏”四字篆书款。“允中家藏”为私铸款皮色黑中带青。该炉整体线条柔软富于变化，腹部与三足过度自然。耳较其他炉小巧精致，有压手感。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_61.jpg
-【清】雕瓷象牙色人物笔筒-,清,无尺寸,胎质坚硬细腻，晶莹结白。直口，筒形腹，底内凹呈浅圈足，器壁厚重，故口沿及足端面均较宽。在高温烧成的涩胎上施黄釉，再以低温二次烧成，釉色娇柔淡雅，釉面洁净，好似象牙的呈色。八仙观太极图剔划而成，人物均凸出器表，且有前后深浅之变化。八仙姿态各异，刻画得栩栩如生，衣纹皱福也表现得飘逸自如，充分体现了制瓷工匠高超的雕刻技艺。器底有『陈国治作』阴文楷书刻款。旁并有『觉圆珍玩道光丁未岭海冯子良志』墨铭。,https://file.szmuseum.com/WaterMark/文章管理缩略图/文房雅玩_0037.jpg
